player_name,over,min_runs,max_runs,avg_runs
AD Russell,10,0,8,3.125
AD Russell,11,0,23,4.766666666666667
AD Russell,12,0,19,4.558139534883721
AD Russell,13,0,14,3.962962962962963
AD Russell,14,0,21,5.381818181818182
AD Russell,15,0,18,4.7368421052631575
AD Russell,16,0,19,5.714285714285714
AD Russell,17,0,21,5.488888888888889
AD Russell,18,0,28,8.93939393939394
AD Russell,19,0,20,7.285714285714286
AF Milne,12,0,0,0.0
AF Milne,13,2,2,2.0
AF Milne,14,1,3,2.0
AF Milne,15,2,2,2.0
AF Milne,16,2,2,2.0
AF Milne,17,1,2,1.5
AF Milne,18,0,8,3.0
AF Milne,19,0,1,0.25
AG Murtaza,18,1,1,1.0
AG Murtaza,19,1,4,2.3333333333333335
AG Paunikar,0,0,11,3.5
AG Paunikar,1,0,8,4.25
AG Paunikar,2,0,5,2.6
AG Paunikar,3,1,1,1.0
AG Paunikar,4,0,2,1.0
AG Paunikar,5,0,0,0.0
AJ Finch,0,0,13,2.9622641509433962
AJ Finch,1,0,16,4.176470588235294
AJ Finch,2,0,14,3.382978723404255
AJ Finch,3,0,10,3.4
AJ Finch,4,0,15,4.090909090909091
AJ Finch,5,0,16,2.9210526315789473
AJ Finch,6,0,14,3.7058823529411766
AJ Finch,7,1,13,5.178571428571429
AJ Finch,8,0,17,4.0
AJ Finch,9,0,13,3.896551724137931
AJ Finch,10,0,14,4.625
AJ Finch,11,0,7,2.65
AJ Finch,12,0,11,3.7777777777777777
AJ Finch,13,0,14,4.294117647058823
AJ Finch,14,0,17,4.105263157894737
AJ Finch,15,0,15,4.647058823529412
AJ Finch,16,0,11,3.7333333333333334
AJ Finch,17,0,19,6.428571428571429
AJ Finch,18,0,7,1.9090909090909092
AJ Finch,19,1,11,7.2
AJ Hosein,17,2,2,2.0
AJ Hosein,18,11,11,11.0
AJ Hosein,19,3,3,3.0
AJ Turner,11,1,1,1.0
AJ Turner,12,2,2,2.0
AJ Turner,13,13,13,13.0
